Strawberry Panic;
Hyperdimension Neptunia;
Fate/Zero;
Fate/stay night;
Hanbun no Tsuki ga Noboru Sora;
dakara boku wa h ga dekinai;
Engaged to the Unidentified;
Devil may Cry;
Yosuga no sora;
noein;
Trunks;
innocent Venus;
Shinobu;
Zhime / Zhme;
Tales of Phantasia;
Gun x Sword;
Valkyria chronicles;
Mawaru penguin drum;
Dangan ronpa;
The Melody of Oblivion;
Super Sonico the Animation;
sacred seven;
Macross Frontier (Ranka);
Kuragehime;
Shakugan no Shana;
Kobato;
lovely complex;
Gj bu;
Nagi no Asukura;
Kids on the slope (Sakamichi no Apollon);
Brave Story;
Mahou Shojo Madoka Magica;
baccano;
chobits;
Tonari No Kaibutsu-kun;
zero no tsukaima;
claymore;
Jigoku Shoujo;
Higurashi no naku koroni;
FLCL;
D-Frag;
Tonari no seki-kun;
Hamatora;
Umeneko;
Higurashi;
Pupa;
Denpa Teki Na Kanojo;
Mikakunin de shinkoukei;
un Pupa;
Shakugan No Shana;
School days;
Maria holic;
Kamisama hajimemashita;
KATANAGATARI;
Nyan Koi;
Kyo Kara Maou;
Aikatsu;
Upotte!!;
Zettai Bouei Leviathan;
Choujigen Game Neptune The Animation;
Leviathan;
servant x service;
Hidan no aria;
Arcana Famglia;
Devil survivor 2;
Haganai;
AnoHana;
Detektiv Yakumo;
Detektiv Loki;
Eyeshield 21;
macross frontier;
Tonari no Kaibutsu-kun;
Acchi Kocchi;
himamori himari;
Shinryaku! Ika Musume;
Medaka Box;
Maken-Ki;
Samurai deeper kyo;
DanganRonpa;
zero no tsukaima;
rasario+vampire;
Onegei Twins/Teacher;;
kaiji;
shin chan;
fate zero;
fate stay night;
nurarihyon no mago;
hidan no aria;
ichiban ushiro no damaou;
tokko;
madoka magika;
untena;
sakura trick;
higurshi;
ghost in the shell;
Defense devil;
D.Gray Man;
Zombie Loan;
hell girl;
higarashi;
blood-c;
umineko no naku koro ni;
Dog Days;
Ookamikakushi;
Mahou Shoujo Madoka Magica;
Akatsuki;
March Story; (vlt nur Manga/)
the Breaker; (manga/)
Mahou Shoujo Lyrical Nanoha;
Diabolik Lovers;
Tamako Market;
Shoujo Ai;
zero no tsukaima;
Maji de Watashi ni Koi Shinasai;
Samurai 7;
Baka and Test;
Summon the Beasts;
Baka to test;
oreimo;
Katnagatari;
danganronpa;
kyou kara maou;
School Days;
Mein Nachbar Totoro;
Hatsu Inu;
Monster Ranger;
Appleseed X Machina;
Pandora Hearts;
Natsume Yuujinchou;
mondaiji;
cytus;
bakuman;
Wolfsrain;
Blood Lad;
Ore no nounai sentakushi ga;
mayo chiki;
King of Thron;
Ano Hana;
Blue Dragon;
Seitokei Yukuindomo;
Hamatora (the animation);
Yumekui Merry;
Ghost in the Shell;
New Waves;
The Breaker;
C-Cube;
Shaman King;
Monster (Rancher);
Blood-C;
Samurai Champloo;
Mass Effect;
Ikki Tousen;
Afro Samurai;
fate zero;
densetsu no yuusha no densetsu;
to love ru;
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai;
Yuushibu;
Kukumeiki Valvrave;
Robotics;
Notes;
togainu no chi;
higurashi no naku koro ni;
Lone Survivor;
junjou romantica;
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai;
Defence Devil;
Hunter x Hunter;
daymore;
D.C. Da Capo;
baccano;
gungrave;
yu yu hakusho;
Corpse party;
K-On!;
Higurashi no Naku Koro ni;
Ore No Imouto ga Konnani Kawaii Wake ga Nai;
Pandora Hearts;
Black Blood Brothers;
Samurai Girl;
Devil May Cry;
Rosario to Vampire;
Control - The Money of Soul and Possibility;
Hyouken;
Pumpkin Scissors;
Soul Link;
Aoki Hagane no Arpeggio Ars Nova;
Valkyria chronicles;
Mobile Suit Gundam;
junjou romantica;
Eden of the East;
Nagi no Asukara;
D Gray Man;
C;
Bokura ga Ita;
Bungaku Shoujo;
shuffle;
last story;
Kotonoha no Niwa;
Hidan No Aria (Aria The Scarlet Ammo);
Mahouka Koukou no Rettousei;
Seitokai Yakuindomo
say I love you;
Sailor Moon;
fruits basket;
Love Live Idol;
Bokuro Ga ha;
Brothers Conflict;
Higurashi no naka kuro ni;
Erementar Gerad;
Uta No Prince Sama;
magical nyan nyan taruto;
Devil may cry;
Hagane no Arpeggio: Ars Nova;
BlazBlue: Alter Memory;
Coppelion;
Zodiac Signs;
Little Blue Demon;
Seitokai Yakuindomo;
11 eyes;
taiga aisaka;
Unbreakable Machine-Doll;
Yozakura Quartet: Hana no Uta;
~Refrain~ & Yuushibu;
Kaze no Tani no Nausicaa;
Tenkuu no Shiro Laputa;
Hotaru no Haka;
Tonari no Totoro;
Majo no Takkyuubin;
Omohide Poro Poro;
Kurenai no Buta;
Mimi o Sumase ba;
Mononoke Hime;
Sen to Chihiro no kamikakushi;
full metal panik;
Neko no Ongaeshi;
Howl no Ugoku Shiro;
Gedo Senki;
Gake no ue no Ponyo;
Karigurashi no Arrietty;
Kokurikozaka Kara;
gurren lagann;
neon genesis;
das wandelnde schloss;
ame & yuki;
hioshi o kodomo;
Totoro;
Das Schloss im Himmel;
Prinzessin Mononoke;
Kara no Kyoukai-Reihe;
Jin-Roh;
Tokyo Godfathers;
Break blade - Action Drama Mecha SciFi Shounen Superpower;
AL;
Kannazuki no Miko;
Togainu no Chi;
Shakugan no Shana;
School Days;
To love-ru;
Star Driver;
Lucky Star;
Candy Boy;
Chi's Sweet Home;
Chaos Head;
Katekyo;
Katekyo: Hitman Reborn (?);
Kamisama no Inai Nichiyoubi;
Garden of Sinners;
Pandora Hearts;
Jigoku Shoujo;
Yahari Ore no Seishun Love Come wa Machigatteiru;
Monster;
A Dark Rabbit Has Seven Lives;
Kare Kano;
Idol Master;
Inu x Boku;
Strawberry Panic;
Ano Natsu de Matteru;
Hogurashi;;
D. Gray Man;
Evangelion;
vampire hunter d;
Wand of Fortune;
Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui!
Hataraku no Gotoku;
Baka to Test to Shoukanjuu;
Rou Kyuu Bu!;
Shugo chara;
Kyoshiro to Towa no Sora;
Pale Cocoon;
Magister Negi Magi;
True Tears 11;
Dance In The Vampire Bund;
Diabolik Lovers;
Zero no Tsukaima 07 ;
pupipo;
White Album;
MM!;
kanokon;
Ichiban Ushiro no Daimaou;
R-15;
Inukami;
Akikan;
Baka to Test to Shoukanjuu;
Uragiri wa boku no namae wo shitteiru ;
Diabolik Lovers;
hataraku Maou-Sama!;
Claymore;
Rizelmine;
Hataraku Maou-sama;
Higurashi no Naku Koro ni;
BlazBlue: Alter Memory;
Canvas 2 Niji-iro no Sketch;
Fate/Kaleid Liner Prisma Illya;
Da Capo;
Da Capo II SS;
Heartcatch Precure!;
Aikatsu http:;
Kono Aozora ni Yakusoku Wo;
Tears to Tiara;
Uragiri wa Boku no Namae o Shitteiru;
zero tsukaima;
Denpa Onna Seishun Otoko;
Hyakka Ryôran;
Samurai Girl;
Kara no Kyoukai;
KEKKAISHI;
Shingetsutan Tsukihime-;
.hack//sign;
.hack//roots;
https://www.youtube.com/watch?v=38EnrUglXM4;
Hakuouki Shinsengumi Kitan;
Mayo Chiki!;
Kara no Kyoukai;
The Vanishment of Haruhi Suzumiya;
Hana-Saku Iroha;
Denpa Onna To Seishun Otoko;
Fate Zero;
Kurozuka;
Sword of The Stranger;
Acchi Kocchi;
Disappearance of Haruhi Suzumiya;
Kimi no Iru Machi;
Kobato.;
Mai Mai Miracle;
ookami kodomo no ame to yuki;
Himegoto;
Barakamon;
Kenzen Robo Daimidaler;
Fortune Arterial;
Zero no Tsukaima;
Higurashi;
Munto;
Kaze No Stigma;
Shugo Chara;
Sakura Card Captor;
Golden Time;
K-On;
Otome wa Boku ni Koishiteru;
Kino's Journey;
Mononoke;
Akagi;
Inu to Hasami wa;
Zombie Loan;
DN Angel;
Hatarakou Sama;
Kimi to Boku 2;
Monster Princess;
Black Lagoon OVA;
Kaito Kid;
Seitokai 2 + OVA;
Blood Lad;
Nagi no Asukara;
D. FRAG;
Diabolik Lovers;
Sakura Trick;
D.Gray-Man;
Jigoku Shoujo S1;
Initial D S1;
Omamori Himari;

